player,date,time,id,item,itemID,itemString,response,votes,class,instance,boss,difficultyID,mapID,groupSize,gear1,gear2,responseID,isAwardReason,subType,equipLoc,note,owner
Anastasia-Faerlina,1/15/21,21:32:38,1610782358-4,[The Castigator],22808,item:22808::::::::60,Holding,nil,MAGE,Naxxramas-40 Player,Thaddius,9,533,40,,,5,true,One-Handed Maces,One-Hand,,Anastasia-Faerlina
Anastasia-Faerlina,1/15/21,21:34:58,1610782498-5,[Elegant Circlet of the Owl],10219,item:10219::::::802:1695442432:60,Holding,nil,MAGE,Naxxramas-40 Player,Thaddius,9,533,40,,,5,true,Cloth,Head,,Anastasia-Faerlina
Anastasia-Faerlina,1/15/21,21:40:58,1610782858-6,[Libram of Light],23006,item:23006::::::::60,Holding,nil,MAGE,Naxxramas-40 Player,Noth the Plaguebringer,9,533,40,,,5,true,Librams,Relic,,Anastasia-Faerlina
Anastasia-Faerlina,1/15/21,21:45:24,1610783124-7,[Icy Scale Coif],23033,item:23033::::::::60,Holding,nil,MAGE,Naxxramas-40 Player,Heigan the Unclean,9,533,40,,,5,true,Mail,Head,,Anastasia-Faerlina
Anastasia-Faerlina,1/15/21,22:00:38,1610784038-8,[Cryptfiend Silk Cloak],22938,item:22938::::::::60,Holding,nil,MAGE,Naxxramas-40 Player,Anub'Rekhan,9,533,40,,,5,true,Cloth,Back,,Anastasia-Faerlina
Anastasia-Faerlina,1/15/21,22:03:06,1610784186-9,[Blasthorn Bow of Marksmanship],15288,item:15288::::::1712:929988480:60,Holding,nil,MAGE,Naxxramas-40 Player,Anub'Rekhan,9,533,40,,,5,true,Bows,Ranged,,Anastasia-Faerlina
Anastasia-Faerlina,1/15/21,22:04:15,1610784255-10,[Traveler's Jerkin],8296,item:8296::::::::60,Holding,nil,MAGE,Naxxramas-40 Player,Anub'Rekhan,9,533,40,,,5,true,Leather,Chest,,Anastasia-Faerlina
Anastasia-Faerlina,1/15/21,22:17:02,1610785022-11,[Master's Bracers of the Owl],10248,item:10248::::::779:376764672:60,Holding,nil,MAGE,Naxxramas-40 Player,Anub'Rekhan,9,533,40,,,5,true,Cloth,Wrist,,Anastasia-Faerlina
Anastasia-Faerlina,1/15/21,22:17:04,1610785024-12,[Solstice Staff of Intellect],15278,item:15278::::::394:1091019264:60,Holding,nil,MAGE,Naxxramas-40 Player,Anub'Rekhan,9,533,40,,,5,true,Staves,Two-Hand,,Anastasia-Faerlina
Anastasia-Faerlina,1/15/21,22:17:58,1610785078-13,[Mercurial Gauntlets of the Falcon],10161,item:10161::::::453:1104853888:60,Holding,nil,MAGE,Naxxramas-40 Player,Anub'Rekhan,9,533,40,,,5,true,Mail,Hands,,Anastasia-Faerlina
Anastasia-Faerlina,1/15/21,22:20:07,1610785207-14,[Widow's Remorse],22806,item:22806::::::::60,Holding,nil,MAGE,Naxxramas-40 Player,Grand Widow Faerlina,9,533,40,,,5,true,One-Handed Swords,One-Hand,,Anastasia-Faerlina
Anastasia-Faerlina,1/15/21,22:46:20,1610786780-15,[Pendant of Forgotten Names],22947,item:22947::::::::60,Holding,nil,MAGE,Naxxramas-40 Player,Maexxna,9,533,40,,,5,true,Miscellaneous,Neck,,Anastasia-Faerlina
Anastasia-Faerlina,1/15/21,23:07:38,1610788058-16,[Idol of Longevity],23004,item:23004::::::::60,Holding,nil,MAGE,Naxxramas-40 Player,Instructor Razuvious,9,533,40,,,5,true,Idols,Relic,,Anastasia-Faerlina
Anastasia-Faerlina,1/15/21,23:21:17,1610788877-0,[Glacial Headdress],23032,item:23032::::::::60,Holding,nil,MAGE,Naxxramas-40 Player,Gothik the Harvester,9,533,40,,,5,true,Cloth,Head,,Anastasia-Faerlina
Anastasia-Faerlina,1/15/21,23:23:14,1610788994-1,[Masterwork Girdle of the Monkey],10269,item:10269::::::621:630529152:60,Holding,nil,MAGE,Naxxramas-40 Player,Gothik the Harvester,9,533,40,,,5,true,Mail,Waist,,Anastasia-Faerlina
Anastasia-Faerlina,1/15/21,23:28:16,1610789296-2,[Battlefell Sabre of Strength],15220,item:15220::::::192:1617294592:60,Holding,nil,MAGE,Naxxramas-40 Player,Gothik the Harvester,9,533,40,,,5,true,One-Handed Swords,Main Hand,,Anastasia-Faerlina
Anastasia-Faerlina,1/15/21,23:38:20,1610789900-3,[Warmth of Forgiveness],23027,item:23027::::::::60,Holding,nil,MAGE,Naxxramas-40 Player,The Four Horsemen,9,533,40,,,5,true,Miscellaneous,Trinket,,Anastasia-Faerlina
Anastasia-Faerlina,1/16/21,00:06:21,1610791581-4,[Sapphiron's Left Eye],23049,item:23049::::::::60,Holding,nil,MAGE,Naxxramas-40 Player,Sapphiron,9,533,40,,,5,true,Miscellaneous,Held In Off-hand,,Anastasia-Faerlina
Anastasia-Faerlina,1/16/21,00:06:21,1610791581-5,[The Face of Death],23043,item:23043::::::::60,Holding,nil,MAGE,Naxxramas-40 Player,Sapphiron,9,533,40,,,5,true,Shields,Off Hand,,Anastasia-Faerlina
Anastasia-Faerlina,1/16/21,21:14:09,1610867649-0,[Ring of the Cryptstalker],23067,item:23067::::::::60,Holding,nil,MAGE,Naxxramas-40 Player,Kel'Thuzad,9,533,40,,,5,true,Miscellaneous,Finger,,Anastasia-Faerlina
Anastasia-Faerlina,1/16/21,21:14:10,1610867650-1,[Stormrage's Talisman of Seething],23053,item:23053::::::::60,Holding,nil,MAGE,Naxxramas-40 Player,Kel'Thuzad,9,533,40,,,5,true,Miscellaneous,Neck,,Anastasia-Faerlina
Anastasia-Faerlina,1/16/21,21:14:10,1610867650-2,[Gem of Trapped Innocents],23057,item:23057::::::::60,Holding,nil,MAGE,Naxxramas-40 Player,Kel'Thuzad,9,533,40,,,5,true,Miscellaneous,Neck,,Anastasia-Faerlina
Anastasia-Faerlina,1/16/21,21:14:10,1610867650-3,[Frostfire Ring],23062,item:23062::::::::60,Holding,nil,MAGE,Naxxramas-40 Player,Kel'Thuzad,9,533,40,,,5,true,Miscellaneous,Finger,,Anastasia-Faerlina
Anastasia-Faerlina,1/16/21,21:41:42,1610869302-0,[Leggings of Immersion],21698,item:21698::::::::60,Holding,nil,MAGE,Ahn'Qiraj Temple-40 Player,The Prophet Skeram,9,531,40,,,5,true,Leather,Legs,,Anastasia-Faerlina
Anastasia-Faerlina,1/16/21,21:41:42,1610869302-1,[Ring of Swarming Thought],21707,item:21707::::::::60,Holding,nil,MAGE,Ahn'Qiraj Temple-40 Player,The Prophet Skeram,9,531,40,,,5,true,Miscellaneous,Finger,,Anastasia-Faerlina
Anastasia-Faerlina,1/16/21,22:03:03,1610870583-2,[Gauntlets of the Righteous Champion],21623,item:21623::::::::60,Holding,nil,MAGE,Ahn'Qiraj Temple-40 Player,Viscidus,9,531,40,,,5,true,Plate,Hands,,Anastasia-Faerlina
Anastasia-Faerlina,1/16/21,22:12:04,1610871124-3,[Cloak of the Golden Hive],21621,item:21621::::::::60,Holding,nil,MAGE,Ahn'Qiraj Temple-40 Player,Princess Huhuran,9,531,40,,,5,true,Cloth,Back,,Anastasia-Faerlina
Anastasia-Faerlina,1/16/21,22:26:22,1610871982-4,[Belt of the Fallen Emperor],21606,item:21606::::::::60,Holding,nil,MAGE,Ahn'Qiraj Temple-40 Player,Twin Emperors,9,531,40,,,5,true,Plate,Waist,,Anastasia-Faerlina
Anastasia-Faerlina,1/16/21,22:26:36,1610871996-5,[Vek'lor's Gloves of Devastation],21599,item:21599::::::::60,Holding,nil,MAGE,Ahn'Qiraj Temple-40 Player,Twin Emperors,9,531,40,,,5,true,Mail,Hands,,Anastasia-Faerlina
Anastasia-Faerlina,1/16/21,22:36:56,1610872616-6,[Warleader's Shoulders],14868,item:14868::::::::60,Holding,nil,MAGE,Ahn'Qiraj Temple-40 Player,Twin Emperors,9,531,40,,,5,true,Plate,Shoulder,,Anastasia-Faerlina
Anastasia-Faerlina,1/16/21,22:40:55,1610872855-7,[Warleader's Shield],15991,item:15991::::::::60,Holding,nil,MAGE,Ahn'Qiraj Temple-40 Player,Twin Emperors,9,531,40,,,5,true,Shields,Off Hand,,Anastasia-Faerlina
Anastasia-Faerlina,1/16/21,23:01:32,1610874092-8,[Cloak of the Devoured],22731,item:22731::::::::60,Holding,nil,MAGE,Ahn'Qiraj Temple-40 Player,C'thun,9,531,40,,,5,true,Cloth,Back,,Anastasia-Faerlina
Anastasia-Faerlina,1/16/21,23:01:33,1610874093-9,[Grasp of the Old God],21582,item:21582::::::::60,Holding,nil,MAGE,Ahn'Qiraj Temple-40 Player,C'thun,9,531,40,,,5,true,Cloth,Waist,,Anastasia-Faerlina
Anastasia-Faerlina,1/16/21,23:27:40,1610875660-10,[Stormrage Bracers],16904,item:16904::::::::60,Holding,nil,MAGE,Blackwing Lair-40 Player,Razorgore the Untamed,9,469,40,,,5,true,Leather,Wrist,,Anastasia-Faerlina
Anastasia-Faerlina,1/16/21,23:27:40,1610875660-11,[The Black Book],19337,item:19337::::::::60,Holding,nil,MAGE,Blackwing Lair-40 Player,Razorgore the Untamed,9,469,40,,,5,true,Miscellaneous,Trinket,,Anastasia-Faerlina
Anastasia-Faerlina,1/16/21,23:27:41,1610875661-12,[Bracelets of Wrath],16959,item:16959::::::::60,Holding,nil,MAGE,Blackwing Lair-40 Player,Razorgore the Untamed,9,469,40,,,5,true,Plate,Wrist,,Anastasia-Faerlina
Anastasia-Faerlina,1/16/21,23:32:02,1610875922-13,[Nemesis Belt],16933,item:16933::::::::60,Holding,nil,MAGE,Blackwing Lair-40 Player,Vaelastrasz the Corrupt,9,469,40,,,5,true,Cloth,Waist,,Anastasia-Faerlina
Anastasia-Faerlina,1/16/21,23:32:02,1610875922-14,[Dragonfang Blade],19346,item:19346::::::::60,Holding,nil,MAGE,Blackwing Lair-40 Player,Vaelastrasz the Corrupt,9,469,40,,,5,true,Daggers,One-Hand,,Anastasia-Faerlina
Anastasia-Faerlina,1/16/21,23:32:03,1610875923-15,[Stormrage Belt],16903,item:16903::::::::60,Holding,nil,MAGE,Blackwing Lair-40 Player,Vaelastrasz the Corrupt,9,469,40,,,5,true,Leather,Waist,,Anastasia-Faerlina
Anastasia-Faerlina,1/16/21,23:34:30,1610876070-16,[Cloak of Draconic Might],19436,item:19436::::::::60,Holding,nil,MAGE,Blackwing Lair-40 Player,Vaelastrasz the Corrupt,9,469,40,,,5,true,Cloth,Back,,Anastasia-Faerlina
Anastasia-Faerlina,1/16/21,23:41:40,1610876500-17,[Bloodfang Boots],16906,item:16906::::::::60,Holding,nil,MAGE,Blackwing Lair-40 Player,Broodlord Lashlayer,9,469,40,,,5,true,Leather,Feet,,Anastasia-Faerlina
Anastasia-Faerlina,1/16/21,23:41:41,1610876501-19,[Stormrage Boots],16898,item:16898::::::::60,Holding,nil,MAGE,Blackwing Lair-40 Player,Broodlord Lashlayer,9,469,40,,,5,true,Leather,Feet,,Anastasia-Faerlina
Anastasia-Faerlina,1/16/21,23:41:40,1610876500-18,[Bracers of Arcane Accuracy],19374,item:19374::::::::60,Holding,nil,MAGE,Blackwing Lair-40 Player,Broodlord Lashlayer,9,469,40,,,5,true,Cloth,Wrist,,Anastasia-Faerlina
Anastasia-Faerlina,1/16/21,23:45:40,1610876740-20,[Essence Gatherer],19435,item:19435::::::::60,Holding,nil,MAGE,Blackwing Lair-40 Player,Broodlord Lashlayer,9,469,40,,,5,true,Wands,,,Anastasia-Faerlina
Anastasia-Faerlina,1/16/21,23:48:44,1610876924-21,[Netherwind Gloves],16913,item:16913::::::::60,Holding,nil,MAGE,Blackwing Lair-40 Player,Firemaw,9,469,40,,,5,true,Cloth,Hands,,Anastasia-Faerlina
Anastasia-Faerlina,1/16/21,23:48:44,1610876924-22,[Claw of the Black Drake],19365,item:19365::::::::60,Holding,nil,MAGE,Blackwing Lair-40 Player,Firemaw,9,469,40,,,5,true,Fist Weapons,Main Hand,,Anastasia-Faerlina
Anastasia-Faerlina,1/16/21,23:52:45,1610877165-23,[Battlefell Sabre of the Tiger],15220,item:15220::::::688:1040616832:60,Holding,nil,MAGE,Blackwing Lair-40 Player,Firemaw,9,469,40,,,5,true,One-Handed Swords,Main Hand,,Anastasia-Faerlina
Anastasia-Faerlina,1/16/21,23:55:22,1610877322-24,[Dragon Finger of the Eagle],15282,item:15282::::::851:1185960704:60,Holding,nil,MAGE,Blackwing Lair-40 Player,Firemaw,9,469,40,,,5,true,Wands,,,Anastasia-Faerlina
Anastasia-Faerlina,1/17/21,00:00:03,1610877603-25,[Handguards of Transcendence],16920,item:16920::::::::60,Holding,nil,MAGE,Blackwing Lair-40 Player,Ebonroc,9,469,40,,,5,true,Cloth,Hands,,Anastasia-Faerlina
Anastasia-Faerlina,1/17/21,00:00:03,1610877603-26,[Ebony Flame Gloves],19407,item:19407::::::::60,Holding,nil,MAGE,Blackwing Lair-40 Player,Ebonroc,9,469,40,,,5,true,Cloth,Hands,,Anastasia-Faerlina
Anastasia-Faerlina,1/17/21,00:01:50,1610877710-27,[Dragonstalker's Gauntlets],16940,item:16940::::::::60,Holding,nil,MAGE,Blackwing Lair-40 Player,Flamegor,9,469,40,,,5,true,Mail,Hands,,Anastasia-Faerlina
Anastasia-Faerlina,1/17/21,00:01:51,1610877711-28,[Herald of Woe],19357,item:19357::::::::60,Holding,nil,MAGE,Blackwing Lair-40 Player,Flamegor,9,469,40,,,5,true,Two-Handed Maces,Two-Hand,,Anastasia-Faerlina
Anastasia-Faerlina,1/17/21,00:07:09,1610878029-29,[Bloodfang Spaulders],16832,item:16832::::::::60,Holding,nil,MAGE,Blackwing Lair-40 Player,Chromaggus,9,469,40,,,5,true,Leather,Shoulder,,Anastasia-Faerlina
Anastasia-Faerlina,1/17/21,00:07:10,1610878030-30,[Taut Dragonhide Gloves],19390,item:19390::::::::60,Holding,nil,MAGE,Blackwing Lair-40 Player,Chromaggus,9,469,40,,,5,true,Leather,Hands,,Anastasia-Faerlina
Anastasia-Faerlina,1/17/21,00:07:11,1610878031-32,[Angelista's Grasp],19388,item:19388::::::::60,Holding,nil,MAGE,Blackwing Lair-40 Player,Chromaggus,9,469,40,,,5,true,Cloth,Waist,,Anastasia-Faerlina
Anastasia-Faerlina,1/17/21,00:07:10,1610878030-31,[Pauldrons of Wrath],16961,item:16961::::::::60,Holding,nil,MAGE,Blackwing Lair-40 Player,Chromaggus,9,469,40,,,5,true,Plate,Shoulder,,Anastasia-Faerlina
Anastasia-Faerlina,1/17/21,00:14:14,1610878454-33,[Dragonstalker's Breastplate],16942,item:16942::::::::60,Holding,nil,MAGE,Blackwing Lair-40 Player,Nefarian,9,469,40,,,5,true,Mail,Chest,,Anastasia-Faerlina
Anastasia-Faerlina,1/17/21,00:14:14,1610878454-34,[Nemesis Robes],16931,item:16931::::::::60,Holding,nil,MAGE,Blackwing Lair-40 Player,Nefarian,9,469,40,,,5,true,Cloth,Chest,,Anastasia-Faerlina
